Proposal_ID,Total_Eval_Txs,Active_Nodes,True_ROI(%),Malicious_ROI_Vote(%),Standard_DAO_ROI(%),AI_Verified_ROI(%),AI_Risk_Score,Required_ROI_Threshold,Final_Decision
PRJ-0337,20,100,186.17,246.72,213.83,196.39,78.25,253.35,Rejected
PRJ-0338,20,100,225.36,371.81,248.18,230.77,80.58,269.24,Rejected
PRJ-0339,20,100,83.76,191.52,98.9,86.73,66.7,182.75,Rejected
PRJ-0340,20,100,231.28,334.59,248.12,235.08,82.82,285.09,Rejected
PRJ-0341,20,100,129.31,265.02,153.75,131.2,72.27,215.13,Rejected
PRJ-0342,20,100,188.84,114.14,172.76,183.99,61.02,152.9,Accepted
PRJ-0343,20,100,166.63,132.45,161.8,171.9,50.67,106.64,Accepted
PRJ-0344,20,100,186.65,278.42,202.14,189.89,67.87,189.31,Accepted
PRJ-0345,20,100,164.01,125.9,163.6,166.01,49.06,100.36,Accepted
PRJ-0346,20,100,151.87,290.89,179.89,161.91,65.49,176.13,Rejected
PRJ-0347,20,100,151.06,282.96,170.17,152.93,67.92,189.55,Rejected
PRJ-0348,20,100,236.86,369.02,243.97,230.5,92.12,356.31,Rejected
PRJ-0349,20,100,73.24,26.48,70.3,78.41,33.17,51.08,Accepted
PRJ-0350,20,100,131.34,216.14,139.76,128.38,73.19,220.75,Rejected
PRJ-0351,20,100,191.28,276.51,217.15,202.46,89.23,333.22,Rejected
PRJ-0352,20,100,237.73,201.41,233.22,237.97,63.45,165.32,Accepted
PRJ-0353,20,100,206.43,167.68,200.31,204.64,47.31,93.81,Accepted
PRJ-0354,20,100,187.6,125.46,181.29,187.25,58.97,142.93,Accepted
PRJ-0355,20,100,286.75,255.09,274.68,279.81,66.9,183.84,Accepted
PRJ-0356,20,100,115.77,232.27,139.6,122.32,80.43,268.23,Rejected
PRJ-0357,20,100,163.59,224.69,186.34,173.36,71.15,208.35,Rejected
PRJ-0358,20,100,5.0,93.04,25.27,10.1,39.43,67.76,Rejected
PRJ-0359,20,100,147.11,103.11,142.74,148.75,56.97,133.58,Accepted
PRJ-0360,20,100,200.28,130.04,192.29,201.46,58.47,140.57,Accepted
PRJ-0361,20,100,206.9,133.26,198.96,206.42,50.97,107.82,Accepted
PRJ-0362,20,100,137.42,211.61,146.14,134.46,70.09,202.1,Rejected
PRJ-0363,20,100,148.28,228.01,153.15,147.36,64.71,171.93,Rejected
PRJ-0364,20,100,143.52,252.84,166.7,149.44,80.75,270.46,Rejected
PRJ-0365,20,100,154.05,210.41,169.7,158.71,63.43,165.21,Rejected
PRJ-0366,20,100,246.19,174.73,240.19,248.72,70.21,202.81,Accepted
PRJ-0367,20,100,232.18,186.33,220.59,222.01,67.84,189.15,Accepted
PRJ-0368,20,100,185.68,280.02,204.09,191.29,87.11,316.82,Rejected
PRJ-0369,20,100,289.43,363.17,310.27,299.82,89.18,332.85,Rejected
PRJ-0370,20,100,142.74,80.13,118.1,133.15,50.52,106.03,Accepted
PRJ-0371,20,100,203.42,141.71,204.47,208.5,66.85,183.57,Accepted
PRJ-0372,20,100,153.09,207.65,146.6,144.52,63.42,165.12,Rejected
PRJ-0373,20,100,113.86,224.94,125.46,108.53,58.56,140.99,Rejected
PRJ-0374,20,100,102.69,153.45,109.68,102.32,51.59,110.31,Rejected
PRJ-0375,20,100,113.52,214.79,137.79,120.32,60.36,149.67,Rejected
PRJ-0376,20,100,166.36,278.07,179.42,163.43,70.66,205.45,Rejected
PRJ-0377,20,100,110.62,209.98,129.15,116.45,60.21,148.95,Rejected
PRJ-0378,20,100,117.05,208.15,115.09,105.86,59.01,143.14,Rejected
PRJ-0379,20,100,204.74,133.55,194.29,199.96,69.01,195.78,Accepted
PRJ-0380,20,100,134.03,222.41,147.04,132.92,67.17,185.38,Rejected
PRJ-0381,20,100,65.75,-1.81,49.01,60.92,32.72,50.02,Accepted
PRJ-0382,20,100,170.72,256.92,194.58,180.77,72.68,217.62,Rejected
PRJ-0383,20,100,165.47,276.73,185.86,170.48,63.52,165.66,Accepted
PRJ-0384,20,100,215.5,178.39,205.65,212.95,70.72,205.82,Accepted
PRJ-0385,20,100,153.62,261.34,158.06,148.02,64.5,170.83,Rejected
PRJ-0386,20,100,158.06,85.78,157.72,165.28,35.61,57.17,Accepted
PRJ-0387,20,100,256.07,210.75,250.91,253.34,55.31,126.1,Accepted
PRJ-0388,20,100,245.83,172.95,239.55,249.01,61.01,152.89,Accepted
PRJ-0389,20,100,212.02,163.46,196.83,209.33,62.99,162.88,Accepted
PRJ-0390,20,100,256.59,323.27,272.27,257.74,88.78,329.73,Rejected
PRJ-0391,20,100,124.25,86.53,122.27,125.05,48.41,97.9,Accepted
PRJ-0392,20,100,158.66,215.83,169.92,156.96,65.74,177.51,Rejected
PRJ-0393,20,100,73.19,24.97,78.79,82.21,39.75,68.71,Accepted
PRJ-0394,20,100,190.34,243.1,191.23,186.94,93.37,366.61,Rejected
PRJ-0395,20,100,182.14,235.23,188.02,180.4,73.19,220.8,Rejected
PRJ-0396,20,100,115.64,40.64,96.4,105.77,48.53,98.32,Accepted
PRJ-0397,20,100,165.79,314.19,194.08,173.67,75.45,235.04,Rejected
PRJ-0398,20,100,36.25,101.67,35.55,32.61,41.91,75.34,Rejected
PRJ-0399,20,100,347.66,295.63,344.93,351.57,90.99,347.16,Accepted
PRJ-0400,20,100,85.88,232.53,98.59,79.0,49.05,100.31,Rejected
PRJ-0401,20,100,158.43,106.23,148.55,153.95,35.31,56.4,Accepted
PRJ-0402,20,100,301.51,243.04,299.08,305.13,61.92,157.44,Accepted
PRJ-0403,20,100,163.6,109.83,153.39,160.66,46.56,91.06,Accepted
PRJ-0404,20,100,140.29,66.79,140.75,146.47,42.13,76.06,Accepted
PRJ-0405,20,100,151.82,229.4,162.27,152.68,69.62,199.34,Rejected
PRJ-0406,20,100,93.28,229.63,116.03,95.88,63.13,163.63,Rejected
PRJ-0407,20,100,194.84,126.75,177.76,188.03,38.4,64.8,Accepted
PRJ-0408,20,100,28.31,164.87,56.0,40.79,68.61,193.49,Rejected
PRJ-0409,20,100,182.65,123.97,179.41,186.45,64.18,169.11,Accepted
PRJ-0410,20,100,186.21,287.25,206.95,189.91,82.49,282.69,Rejected
PRJ-0411,20,100,196.39,315.17,211.82,196.25,74.84,231.11,Rejected
PRJ-0412,20,100,258.77,344.64,265.84,255.41,79.28,260.33,Rejected
PRJ-0413,20,100,201.82,157.09,201.29,207.24,55.6,127.39,Accepted
PRJ-0414,20,100,223.85,155.4,211.39,223.07,72.73,217.91,Accepted
PRJ-0415,20,100,241.6,300.46,257.99,247.23,82.83,285.18,Rejected
PRJ-0416,20,100,143.41,110.11,123.29,130.53,52.7,114.89,Accepted
PRJ-0417,20,100,127.13,93.28,117.18,119.13,53.11,116.64,Accepted
PRJ-0418,20,100,206.47,263.76,214.98,206.53,86.83,314.65,Rejected
PRJ-0419,20,100,77.83,7.66,59.17,70.67,40.89,72.16,Rejected
PRJ-0420,20,100,204.86,151.04,199.68,205.15,62.68,161.29,Accepted
PRJ-0421,20,100,109.8,195.58,124.53,111.84,74.53,229.16,Rejected
PRJ-0422,20,100,164.03,111.56,162.2,166.79,52.18,112.75,Accepted
PRJ-0423,20,100,289.95,364.14,298.81,290.03,92.01,355.41,Rejected
PRJ-0424,20,100,223.34,325.35,247.63,229.88,77.65,249.37,Rejected
PRJ-0425,20,100,147.06,225.48,148.12,141.99,70.89,206.79,Rejected
PRJ-0426,20,100,119.2,196.82,128.9,117.28,70.03,201.72,Rejected
PRJ-0427,20,100,167.46,121.64,158.07,167.81,60.08,148.3,Accepted
PRJ-0428,20,100,112.98,194.31,124.62,115.43,60.91,152.35,Rejected
PRJ-0429,20,100,185.7,273.44,200.81,189.9,68.94,195.39,Rejected
PRJ-0430,20,100,284.13,218.94,271.48,286.06,64.02,168.26,Accepted
PRJ-0431,20,100,267.23,222.33,261.97,267.81,79.48,261.7,Accepted
PRJ-0432,20,100,155.41,241.41,167.72,154.81,68.05,190.31,Rejected
PRJ-0433,20,100,203.09,162.64,178.55,188.84,65.01,173.53,Accepted
PRJ-0434,20,100,44.09,179.12,66.44,49.86,43.93,81.94,Rejected
PRJ-0435,20,100,115.47,187.04,129.13,120.53,74.33,227.91,Rejected
PRJ-0436,20,100,289.35,226.77,275.04,284.08,79.56,262.27,Accepted
PRJ-0437,20,100,211.05,145.38,207.19,210.48,51.96,111.82,Accepted
PRJ-0438,20,100,163.3,219.11,160.34,155.4,67.88,189.38,Rejected
PRJ-0439,20,100,107.97,159.44,115.02,110.09,65.61,176.8,Rejected
PRJ-0440,20,100,57.79,148.22,54.81,49.16,42.12,76.02,Rejected
PRJ-0441,20,100,277.08,423.43,297.39,277.62,100.0,423.88,Rejected
PRJ-0442,20,100,234.46,361.75,252.64,238.05,95.27,382.52,Rejected
PRJ-0443,20,100,180.02,242.04,195.06,185.54,71.58,210.93,Rejected
PRJ-0444,20,100,148.95,236.12,156.53,141.14,79.71,263.29,Rejected
PRJ-0445,20,100,174.5,302.54,195.73,177.36,67.47,187.05,Rejected
PRJ-0446,20,100,49.44,8.03,40.86,46.69,30.9,45.86,Accepted
PRJ-0447,20,100,65.62,121.41,83.39,70.82,63.45,165.3,Rejected
PRJ-0448,20,100,184.6,257.14,190.91,182.31,73.06,219.95,Rejected
PRJ-0449,20,100,137.81,245.64,161.49,146.37,59.37,144.86,Accepted
PRJ-0450,20,100,153.62,271.03,176.48,154.23,69.89,200.88,Rejected
PRJ-0451,20,100,69.65,166.65,86.24,71.12,52.84,115.47,Rejected
PRJ-0452,20,100,213.11,135.21,196.95,207.01,69.95,201.27,Accepted
PRJ-0453,20,100,134.68,100.87,136.22,143.27,40.89,72.15,Accepted
PRJ-0454,20,100,152.66,245.94,162.4,157.09,77.62,249.19,Rejected
PRJ-0455,20,100,112.55,34.52,102.99,111.78,43.64,80.97,Accepted
PRJ-0456,20,100,188.21,128.53,168.17,180.47,65.72,177.37,Accepted
PRJ-0457,20,100,132.4,258.13,152.76,135.62,67.85,189.16,Rejected
PRJ-0458,20,100,90.11,204.17,109.08,89.74,63.73,166.74,Rejected
PRJ-0459,20,100,169.52,114.58,168.24,176.66,50.65,106.57,Accepted
PRJ-0460,20,100,171.25,243.46,176.51,170.62,74.28,227.56,Rejected
PRJ-0461,20,100,163.7,256.57,177.7,163.44,78.23,253.27,Rejected
PRJ-0462,20,100,137.27,216.16,148.55,135.67,64.7,171.9,Rejected
PRJ-0463,20,100,176.22,265.47,195.42,178.57,76.16,239.61,Rejected
PRJ-0464,20,100,182.71,268.42,199.42,185.93,68.71,194.09,Rejected
PRJ-0465,20,100,195.95,133.12,185.48,189.54,54.73,123.57,Accepted
PRJ-0466,20,100,111.97,165.86,115.28,105.89,54.35,121.91,Rejected
PRJ-0467,20,100,197.19,145.36,193.27,199.03,58.89,142.57,Accepted
PRJ-0468,20,100,339.88,292.23,335.87,338.97,73.24,221.07,Accepted
PRJ-0469,20,100,217.19,162.32,217.61,220.99,62.16,158.67,Accepted
PRJ-0470,20,100,98.51,234.02,110.89,94.12,71.14,208.28,Rejected
PRJ-0471,20,100,108.62,62.01,105.48,111.39,25.94,36.0,Accepted
PRJ-0472,20,100,239.44,377.02,259.52,238.01,80.56,269.1,Rejected
PRJ-0473,20,100,138.16,101.76,130.57,135.3,38.32,64.56,Accepted
PRJ-0474,20,100,32.13,112.53,35.68,26.4,75.35,234.39,Rejected
PRJ-0475,20,100,116.42,208.68,135.2,121.8,75.19,233.35,Rejected
PRJ-0476,20,100,66.42,134.58,82.93,72.81,49.07,100.37,Rejected
PRJ-0477,20,100,173.06,282.12,196.01,176.16,76.75,243.44,Rejected
PRJ-0478,20,100,164.56,126.19,166.96,173.36,56.02,129.29,Accepted
PRJ-0479,20,100,262.39,217.56,248.76,259.91,71.28,209.12,Accepted
PRJ-0480,20,100,241.4,342.29,250.91,239.46,79.56,262.21,Rejected
PRJ-0481,20,100,172.39,293.82,197.67,178.87,74.1,226.45,Rejected
PRJ-0482,20,100,184.58,320.75,214.09,193.77,77.24,246.66,Rejected
PRJ-0483,20,100,152.62,236.18,156.73,147.43,77.58,248.93,Rejected
PRJ-0484,20,100,251.83,351.45,269.36,255.92,80.87,271.31,Rejected
PRJ-0485,20,100,114.3,65.08,114.27,119.63,48.62,98.69,Accepted
PRJ-0486,20,100,192.66,121.8,178.54,192.09,64.1,168.68,Accepted
PRJ-0487,20,100,183.5,305.35,197.84,182.63,72.51,216.59,Rejected
PRJ-0488,20,100,176.72,126.89,178.36,181.8,61.43,154.97,Accepted
PRJ-0489,20,100,102.3,219.58,119.8,105.28,57.82,137.5,Rejected
PRJ-0490,20,100,195.79,124.15,200.27,206.26,55.26,125.89,Accepted
PRJ-0491,20,100,165.63,120.29,155.51,158.67,59.46,145.29,Accepted
PRJ-0492,20,100,109.84,200.29,122.15,113.3,83.75,291.77,Rejected
PRJ-0493,20,100,50.09,105.75,62.23,49.76,56.96,133.55,Rejected
PRJ-0494,20,100,172.4,285.63,200.77,183.4,73.12,220.31,Rejected
PRJ-0495,20,100,77.72,155.51,89.61,77.54,59.6,145.97,Rejected
PRJ-0496,20,100,53.2,200.27,71.41,49.1,57.39,135.53,Rejected
PRJ-0497,20,100,105.33,197.6,128.27,113.56,61.54,155.54,Rejected
PRJ-0498,20,100,37.4,135.71,45.48,32.59,48.38,97.75,Rejected
PRJ-0499,20,100,81.87,192.24,99.52,84.13,51.17,108.64,Rejected
PRJ-0500,20,100,175.89,114.71,162.48,173.49,63.75,166.86,Accepted
PRJ-0501,20,100,181.7,116.36,167.64,180.87,45.51,87.33,Accepted
PRJ-0502,20,100,180.04,106.73,161.96,177.18,41.38,73.67,Accepted
PRJ-0503,20,100,202.33,322.44,213.65,200.95,73.27,221.28,Rejected
PRJ-0504,20,100,245.38,202.72,237.59,244.31,52.03,112.14,Accepted
PRJ-0505,20,100,178.71,247.57,190.69,183.28,73.58,223.2,Rejected
PRJ-0506,20,100,135.21,83.5,129.62,136.69,52.03,112.15,Accepted
PRJ-0507,20,100,58.81,172.58,89.85,72.18,58.45,140.46,Rejected
PRJ-0508,20,100,130.41,181.78,142.69,134.36,77.11,245.82,Rejected
PRJ-0509,20,100,104.41,160.66,104.88,98.23,53.24,117.18,Rejected
PRJ-0510,20,100,194.99,253.1,214.94,205.94,90.58,343.86,Rejected
PRJ-0511,20,100,208.81,278.84,224.02,212.28,72.5,216.5,Rejected
PRJ-0512,20,100,246.14,302.99,265.44,252.97,86.26,310.34,Rejected
PRJ-0513,20,100,172.89,249.78,202.09,186.09,75.25,233.73,Rejected
PRJ-0514,20,100,172.7,268.14,194.46,180.64,77.16,246.1,Rejected
PRJ-0515,20,100,172.43,120.31,172.96,174.83,44.92,85.3,Accepted
PRJ-0516,20,100,192.59,244.78,188.22,185.24,73.07,220.06,Rejected
PRJ-0517,20,100,52.51,195.22,69.73,51.65,65.38,175.54,Rejected
PRJ-0518,20,100,151.24,227.26,162.22,156.41,68.78,194.48,Rejected
PRJ-0519,20,100,142.68,274.09,167.0,148.61,60.82,151.91,Rejected
PRJ-0520,20,100,168.05,125.55,151.7,159.54,54.58,122.93,Accepted
PRJ-0521,20,100,304.68,437.54,312.28,295.77,100.0,423.88,Rejected
PRJ-0522,20,100,209.29,154.01,189.1,199.25,54.98,124.65,Accepted
PRJ-0523,20,100,109.71,179.1,138.6,120.9,61.55,155.59,Rejected
PRJ-0524,20,100,229.1,161.68,220.54,229.72,71.27,209.05,Accepted
PRJ-0525,20,100,154.67,222.6,160.84,154.44,95.85,387.46,Rejected
PRJ-0526,20,100,183.63,145.56,188.75,189.41,49.44,101.83,Accepted
PRJ-0527,20,100,72.33,174.25,85.06,71.41,54.36,121.94,Rejected
PRJ-0528,20,100,164.72,123.01,154.43,161.72,43.74,81.29,Accepted
PRJ-0529,20,100,319.88,262.84,294.89,306.2,80.32,267.47,Accepted
PRJ-0530,20,100,259.63,350.83,265.53,256.34,81.29,274.21,Rejected
PRJ-0531,20,100,231.31,171.03,219.48,226.51,69.92,201.07,Accepted
PRJ-0532,20,100,110.57,181.19,117.73,110.57,59.96,147.72,Rejected
PRJ-0533,20,100,176.1,268.03,181.32,172.49,77.88,250.88,Rejected
PRJ-0534,20,100,119.87,238.73,150.04,133.13,64.31,169.84,Rejected
PRJ-0535,20,100,280.09,207.93,272.81,282.27,69.21,196.95,Accepted
PRJ-0536,20,100,99.47,60.3,101.4,102.67,33.71,52.39,Accepted
PRJ-0537,20,100,141.59,66.5,131.6,144.79,53.0,116.15,Accepted
PRJ-0538,20,100,216.0,182.67,212.88,217.99,60.86,152.15,Accepted
PRJ-0539,20,100,163.3,111.62,156.49,166.46,55.9,128.73,Accepted
PRJ-0540,20,100,96.57,153.45,92.2,86.84,48.83,99.48,Rejected
PRJ-0541,20,100,18.34,139.21,47.03,27.67,55.93,128.86,Rejected
PRJ-0542,20,100,287.97,254.64,292.92,293.73,61.87,157.16,Accepted
PRJ-0543,20,100,266.7,196.55,263.2,271.65,71.86,212.63,Accepted
PRJ-0544,20,100,139.54,72.43,142.12,148.56,47.84,95.73,Accepted
PRJ-0545,20,100,126.27,267.09,151.13,130.51,58.35,140.01,Rejected
PRJ-0546,20,100,268.12,209.18,263.69,271.99,73.12,220.35,Accepted
PRJ-0547,20,100,163.0,119.45,161.04,169.82,49.51,102.09,Accepted
PRJ-0548,20,100,89.5,181.98,96.78,84.86,55.55,127.15,Rejected
PRJ-0549,20,100,221.56,150.47,217.06,221.78,65.23,174.75,Accepted
PRJ-0550,20,100,232.73,309.14,240.61,234.02,81.63,276.58,Rejected
PRJ-0551,20,100,204.83,165.29,189.71,196.34,67.58,187.65,Accepted
PRJ-0552,20,100,181.71,118.61,170.99,176.36,49.8,103.21,Accepted
PRJ-0553,20,100,219.45,278.29,229.5,218.87,73.28,221.36,Rejected
PRJ-0554,20,100,227.45,184.47,219.11,224.77,50.76,106.98,Accepted
PRJ-0555,20,100,82.55,164.86,93.63,82.95,70.24,202.99,Rejected
PRJ-0556,20,100,167.57,275.24,186.07,168.7,75.06,232.52,Rejected
PRJ-0557,20,100,224.18,276.42,227.25,219.44,76.35,240.84,Rejected
PRJ-0558,20,100,163.95,279.38,179.21,159.22,83.22,287.97,Rejected
PRJ-0559,20,100,263.53,205.36,262.61,268.2,74.33,227.89,Accepted
PRJ-0560,20,100,212.94,362.0,251.14,227.36,79.5,261.84,Rejected
PRJ-0561,20,100,251.32,209.87,251.63,252.28,59.73,146.58,Accepted
PRJ-0562,20,100,195.55,298.32,213.65,197.51,75.55,235.68,Rejected
PRJ-0563,20,100,237.0,184.26,227.91,234.26,74.38,228.22,Accepted
PRJ-0564,20,100,269.38,336.12,280.25,272.0,82.84,285.24,Rejected
PRJ-0565,20,100,220.21,297.74,243.18,229.82,94.44,375.51,Rejected
PRJ-0566,20,100,116.59,237.11,132.99,113.72,71.06,207.84,Rejected
PRJ-0567,20,100,188.79,240.71,197.54,188.96,94.81,378.6,Rejected
PRJ-0568,20,100,260.98,190.83,256.2,265.62,72.85,218.65,Accepted
PRJ-0569,20,100,201.66,163.98,186.01,189.17,65.65,177.01,Accepted
PRJ-0570,20,100,154.65,95.01,150.79,157.2,40.18,70.0,Accepted
PRJ-0571,20,100,145.37,111.14,137.29,143.23,58.01,138.41,Accepted
PRJ-0572,20,100,207.83,278.95,224.37,212.62,78.97,258.25,Rejected
PRJ-0573,20,100,135.74,285.46,157.32,139.15,74.44,228.6,Rejected
PRJ-0574,20,100,179.28,235.52,190.87,184.72,69.33,197.65,Rejected
PRJ-0575,20,100,141.27,107.72,131.09,137.59,57.25,134.88,Accepted
PRJ-0576,20,100,106.9,167.0,108.91,99.14,55.11,125.21,Rejected
PRJ-0577,20,100,145.59,223.43,159.94,147.67,61.16,153.6,Rejected
PRJ-0578,20,100,213.57,177.09,200.23,206.25,55.81,128.33,Accepted
PRJ-0579,20,100,68.44,139.49,78.71,67.75,53.45,118.06,Rejected
PRJ-0580,20,100,176.68,138.93,171.6,178.94,59.31,144.56,Accepted
PRJ-0581,20,100,115.25,245.63,125.95,113.29,64.53,170.97,Rejected
PRJ-0582,20,100,109.6,222.0,122.78,105.67,68.55,193.14,Rejected
PRJ-0583,20,100,57.85,138.49,64.68,55.6,63.57,165.91,Rejected
PRJ-0584,20,100,5.0,121.72,34.12,13.92,47.21,93.43,Rejected
PRJ-0585,20,100,202.14,336.15,211.96,198.96,72.23,214.89,Rejected
PRJ-0586,20,100,105.06,50.43,101.95,111.76,47.23,93.52,Accepted
PRJ-0587,20,100,196.95,287.63,211.44,200.87,83.7,291.46,Rejected
PRJ-0588,20,100,34.94,104.58,45.85,34.6,57.11,134.21,Rejected
PRJ-0589,20,100,315.97,388.95,333.17,325.97,93.56,368.19,Rejected
PRJ-0590,20,100,162.22,103.67,152.95,159.0,33.55,51.99,Accepted
PRJ-0591,20,100,100.86,233.44,115.54,97.78,56.17,129.93,Rejected
PRJ-0592,20,100,165.82,230.12,178.35,168.22,70.71,205.72,Rejected
PRJ-0593,20,100,169.09,274.77,181.23,166.25,83.27,288.31,Rejected
PRJ-0594,20,100,205.94,277.99,212.57,205.78,71.02,207.61,Rejected
PRJ-0595,20,100,159.56,209.63,159.03,153.49,71.13,208.24,Rejected
PRJ-0596,20,100,197.51,262.71,215.82,206.38,69.44,198.3,Accepted
PRJ-0597,20,100,75.57,-0.46,58.61,71.7,33.69,52.34,Accepted
PRJ-0598,20,100,105.31,201.94,124.92,108.88,55.16,125.44,Rejected
PRJ-0599,20,100,178.08,118.23,157.17,163.73,55.9,128.72,Accepted
PRJ-0600,20,100,176.71,277.77,183.27,171.49,82.57,283.32,Rejected
PRJ-0601,20,100,200.67,255.69,234.13,216.24,76.52,241.95,Rejected
PRJ-0602,20,100,137.79,203.86,150.29,143.04,65.85,178.06,Rejected
PRJ-0603,20,100,140.32,251.15,157.07,140.01,64.32,169.85,Rejected
PRJ-0604,20,100,112.23,201.44,126.66,116.93,52.78,115.24,Accepted
PRJ-0605,20,100,174.05,110.18,166.64,172.65,56.97,133.58,Accepted
PRJ-0606,20,100,193.89,245.8,198.6,191.06,76.14,239.48,Rejected
PRJ-0607,20,100,247.4,200.15,242.45,246.18,66.47,181.49,Accepted
PRJ-0608,20,100,192.4,310.25,203.56,191.9,72.58,217.02,Rejected
PRJ-0609,20,100,163.13,241.3,177.7,163.12,78.04,251.95,Rejected
PRJ-0610,20,100,256.07,313.96,253.54,247.7,79.87,264.36,Rejected
PRJ-0611,20,100,99.19,22.41,88.11,101.28,40.41,70.69,Accepted
PRJ-0612,20,100,85.07,231.88,105.32,82.71,57.97,138.22,Rejected
PRJ-0613,20,100,5.0,121.19,12.04,5.0,66.28,180.43,Rejected
PRJ-0614,20,100,238.23,369.97,261.8,243.92,77.37,247.52,Rejected
PRJ-0615,20,100,246.22,171.44,236.61,248.8,50.77,107.01,Accepted
PRJ-0616,20,100,195.34,155.81,191.37,193.08,60.95,152.56,Accepted
PRJ-0617,20,100,89.32,151.31,101.04,94.5,57.07,134.02,Rejected
PRJ-0618,20,100,275.95,230.95,257.89,269.2,68.44,192.53,Accepted
PRJ-0619,20,100,249.29,202.09,245.81,253.17,44.48,83.78,Accepted
PRJ-0620,20,100,265.1,190.18,264.92,275.38,77.78,250.25,Accepted
PRJ-0621,20,100,64.72,172.4,81.03,65.57,40.18,70.0,Rejected
PRJ-0622,20,100,133.41,66.47,119.78,131.18,49.58,102.34,Accepted
PRJ-0623,20,100,156.21,223.46,163.67,152.95,66.08,179.34,Rejected
PRJ-0624,20,100,154.84,107.46,150.22,155.53,38.84,66.04,Accepted
PRJ-0625,20,100,269.09,226.45,256.49,266.77,58.8,142.1,Accepted
PRJ-0626,20,100,178.35,124.48,174.27,181.11,37.02,60.93,Accepted
PRJ-0627,20,100,48.42,119.33,63.39,49.95,45.69,87.99,Rejected
PRJ-0628,20,100,114.07,186.2,128.51,120.03,63.98,168.05,Rejected
PRJ-0629,20,100,171.62,267.53,191.59,174.53,83.0,286.4,Rejected
PRJ-0630,20,100,166.88,220.15,187.71,175.27,71.16,208.43,Rejected
PRJ-0631,20,100,60.32,-18.24,44.12,58.32,27.68,39.22,Accepted
PRJ-0632,20,100,243.48,305.11,248.05,241.21,90.85,346.07,Rejected
PRJ-0633,20,100,192.89,278.36,205.15,191.91,74.15,226.78,Rejected
PRJ-0634,20,100,176.63,116.04,171.41,179.18,32.22,48.84,Accepted
PRJ-0635,20,100,87.4,36.74,74.16,83.06,44.42,83.61,Rejected
PRJ-0636,20,100,275.44,343.62,281.06,273.2,82.36,281.79,Rejected
PRJ-0637,20,100,155.6,222.42,162.14,154.15,69.76,200.16,Rejected
PRJ-0638,20,100,232.22,165.65,212.83,226.48,67.3,186.07,Accepted
PRJ-0639,20,100,214.65,147.03,210.59,213.9,68.38,192.18,Accepted
PRJ-0640,20,100,241.78,374.23,263.92,248.66,94.85,378.96,Rejected
PRJ-0641,20,100,158.41,251.54,177.12,165.1,68.51,192.93,Rejected
PRJ-0642,20,100,173.97,272.37,188.02,176.31,75.98,238.45,Rejected
PRJ-0643,20,100,122.94,90.97,116.79,117.07,35.73,57.5,Accepted
PRJ-0644,20,100,166.18,296.72,182.94,169.43,87.61,320.67,Rejected
PRJ-0645,20,100,198.29,118.78,189.2,197.15,63.06,163.25,Accepted
PRJ-0646,20,100,148.8,210.84,168.8,158.62,66.1,179.46,Rejected
PRJ-0647,20,100,166.43,115.57,149.05,161.81,45.6,87.67,Accepted
PRJ-0648,20,100,137.84,277.64,160.81,144.3,60.08,148.3,Rejected
PRJ-0649,20,100,116.41,182.71,139.69,127.09,62.09,158.28,Rejected
PRJ-0650,20,100,126.47,180.41,132.0,124.06,59.4,144.97,Rejected
PRJ-0651,20,100,194.55,163.98,187.73,193.22,36.36,59.15,Accepted
PRJ-0652,20,100,209.01,159.12,198.81,207.29,54.85,124.09,Accepted
PRJ-0653,20,100,194.7,151.12,185.13,195.12,65.62,176.83,Accepted
PRJ-0654,20,100,207.28,155.97,197.95,204.21,61.37,154.69,Accepted
PRJ-0655,20,100,206.87,338.6,220.06,202.78,71.48,210.37,Rejected
PRJ-0656,20,100,76.79,44.23,69.46,76.92,35.22,56.16,Accepted
PRJ-0657,20,100,66.02,9.52,44.38,55.56,21.4,28.75,Accepted
PRJ-0658,20,100,102.64,168.03,118.72,108.32,68.78,194.49,Rejected
PRJ-0659,20,100,112.93,230.9,116.36,103.34,58.11,138.88,Rejected
PRJ-0660,20,100,157.76,233.74,164.04,157.14,88.52,327.64,Rejected
PRJ-0661,20,100,94.79,212.03,104.6,87.89,49.97,103.86,Rejected
PRJ-0662,20,100,239.33,201.51,239.53,241.13,72.75,218.05,Accepted
PRJ-0663,20,100,225.77,191.71,222.13,223.06,53.3,117.41,Accepted
PRJ-0664,20,100,250.27,205.8,248.36,255.18,74.08,226.31,Accepted
PRJ-0665,20,100,191.55,274.57,187.73,179.51,99.22,416.93,Rejected
PRJ-0666,20,100,210.49,316.11,232.6,217.42,82.17,280.43,Rejected
PRJ-0667,20,100,100.67,237.22,123.62,101.35,50.72,106.81,Rejected
PRJ-0668,20,100,208.45,148.29,212.49,217.31,58.2,139.3,Accepted
PRJ-0669,20,100,293.77,225.34,274.97,284.07,76.03,238.78,Accepted
PRJ-0670,20,100,124.44,249.15,137.26,124.16,75.93,238.12,Rejected
PRJ-0671,20,100,115.39,213.24,134.81,116.72,69.26,197.22,Rejected
PRJ-0672,20,100,193.37,159.29,187.09,191.55,61.86,157.16,Accepted
PRJ-0673,20,100,252.77,207.98,243.03,247.29,48.94,99.88,Accepted
PRJ-0674,20,100,177.54,277.57,209.53,192.06,68.29,191.66,Accepted
