Node_Profile_ID,Analyzed_Txs_Sequence,Actual_Hidden_Behavior,Standard_Suspicion_Score,AI_Suspicion_Score,AI_Final_Decision,Machine_Learning_Outcome
N-0392,20,Malicious,0.4091,0.6596,Malicious,True Positive (Hit)
N-0393,20,Honest,0.3582,0.1086,Honest,True Negative (Safe)
N-0394,20,Malicious,0.6256,0.6119,Malicious,True Positive (Hit)
N-0395,20,Honest,0.4539,0.1043,Honest,True Negative (Safe)
N-0396,20,Malicious,0.1664,0.9507,Malicious,True Positive (Hit)
N-0397,20,Honest,0.5749,0.7077,Malicious,False Positive (False Alarm)
N-0398,20,Honest,0.189,0.2082,Honest,True Negative (Safe)
N-0399,20,Honest,0.4179,0.4479,Honest,True Negative (Safe)
N-0400,20,Honest,0.3232,0.0158,Honest,True Negative (Safe)
N-0401,20,Malicious,0.852,0.6803,Malicious,True Positive (Hit)
N-0402,20,Honest,0.6697,0.4024,Honest,True Negative (Safe)
N-0403,20,Honest,0.4425,0.2151,Honest,True Negative (Safe)
N-0404,20,Honest,0.3521,0.247,Honest,True Negative (Safe)
N-0405,20,Honest,0.6658,0.0907,Honest,True Negative (Safe)
N-0406,20,Honest,0.4772,0.0263,Honest,True Negative (Safe)
N-0407,20,Honest,0.2015,0.2438,Honest,True Negative (Safe)
N-0408,20,Honest,0.0,0.6621,Malicious,False Positive (False Alarm)
N-0409,20,Malicious,0.2517,0.7412,Malicious,True Positive (Hit)
N-0410,20,Honest,0.7421,0.0774,Honest,True Negative (Safe)
N-0411,20,Honest,0.0,0.161,Honest,True Negative (Safe)
N-0412,20,Honest,0.2313,0.0,Honest,True Negative (Safe)
N-0413,20,Honest,0.5212,0.2914,Honest,True Negative (Safe)
N-0414,20,Honest,0.7356,0.0258,Honest,True Negative (Safe)
N-0415,20,Honest,0.0502,0.1687,Honest,True Negative (Safe)
N-0416,20,Honest,0.4279,0.4343,Honest,True Negative (Safe)
N-0417,20,Honest,0.8026,0.4929,Honest,True Negative (Safe)
N-0418,20,Honest,0.5191,0.4099,Honest,True Negative (Safe)
N-0419,20,Honest,0.2899,0.2837,Honest,True Negative (Safe)
N-0420,20,Honest,0.1522,0.2625,Honest,True Negative (Safe)
N-0421,20,Malicious,0.5722,1.0,Malicious,True Positive (Hit)
N-0422,20,Honest,0.3928,0.268,Honest,True Negative (Safe)
N-0423,20,Honest,0.5092,0.159,Honest,True Negative (Safe)
N-0424,20,Honest,0.2494,0.5098,Malicious,False Positive (False Alarm)
N-0425,20,Honest,0.2048,0.0,Honest,True Negative (Safe)
N-0426,20,Honest,0.6201,0.4816,Honest,True Negative (Safe)
N-0427,20,Malicious,0.4371,0.6541,Malicious,True Positive (Hit)
N-0428,20,Malicious,0.6206,0.5943,Malicious,True Positive (Hit)
N-0429,20,Honest,0.2546,0.4259,Honest,True Negative (Safe)
N-0430,20,Honest,0.6018,0.5122,Malicious,False Positive (False Alarm)
N-0431,20,Honest,0.1369,0.1495,Honest,True Negative (Safe)
N-0432,20,Honest,0.5203,0.0649,Honest,True Negative (Safe)
N-0433,20,Honest,0.6104,0.4949,Honest,True Negative (Safe)
N-0434,20,Honest,0.3042,0.2577,Honest,True Negative (Safe)
N-0435,20,Honest,0.8139,0.6099,Malicious,False Positive (False Alarm)
N-0436,20,Malicious,0.7365,0.8806,Malicious,True Positive (Hit)
N-0437,20,Malicious,0.3366,0.829,Malicious,True Positive (Hit)
N-0438,20,Honest,0.5892,0.2079,Honest,True Negative (Safe)
N-0439,20,Honest,0.3013,0.0,Honest,True Negative (Safe)
N-0440,20,Honest,0.0156,0.0,Honest,True Negative (Safe)
N-0441,20,Malicious,0.6949,0.7825,Malicious,True Positive (Hit)
N-0442,20,Honest,0.329,0.1837,Honest,True Negative (Safe)
N-0443,20,Honest,0.5026,0.2171,Honest,True Negative (Safe)
N-0444,20,Honest,0.1149,0.4326,Honest,True Negative (Safe)
N-0445,20,Honest,0.526,0.3032,Honest,True Negative (Safe)
N-0446,20,Honest,0.6594,0.0873,Honest,True Negative (Safe)
N-0447,20,Honest,0.7534,0.222,Honest,True Negative (Safe)
N-0448,20,Malicious,0.7721,0.9116,Malicious,True Positive (Hit)
N-0449,20,Honest,0.1903,0.3506,Honest,True Negative (Safe)
N-0450,20,Honest,0.5316,0.2561,Honest,True Negative (Safe)
N-0451,20,Honest,0.4264,0.2328,Honest,True Negative (Safe)
N-0452,20,Honest,0.6532,0.3656,Honest,True Negative (Safe)
N-0453,20,Honest,0.4576,0.0,Honest,True Negative (Safe)
N-0454,20,Malicious,0.6736,0.9092,Malicious,True Positive (Hit)
N-0455,20,Malicious,1.0,0.9866,Malicious,True Positive (Hit)
N-0456,20,Honest,0.0,0.2657,Honest,True Negative (Safe)
N-0457,20,Honest,0.9028,0.3747,Honest,True Negative (Safe)
N-0458,20,Honest,0.5322,0.43,Honest,True Negative (Safe)
N-0459,20,Honest,0.2944,0.3456,Honest,True Negative (Safe)
N-0460,20,Honest,0.3874,0.2461,Honest,True Negative (Safe)
N-0461,20,Malicious,0.7571,0.5461,Malicious,True Positive (Hit)
N-0462,20,Malicious,0.872,0.657,Malicious,True Positive (Hit)
N-0463,20,Honest,0.5152,0.0,Honest,True Negative (Safe)
N-0464,20,Honest,0.63,0.5393,Malicious,False Positive (False Alarm)
N-0465,20,Honest,0.3213,0.028,Honest,True Negative (Safe)
N-0466,20,Malicious,0.6195,1.0,Malicious,True Positive (Hit)
N-0467,20,Malicious,0.1875,0.5066,Malicious,True Positive (Hit)
N-0468,20,Honest,0.3365,0.0859,Honest,True Negative (Safe)
N-0469,20,Honest,0.2457,0.0,Honest,True Negative (Safe)
N-0470,20,Honest,0.5973,0.3177,Honest,True Negative (Safe)
N-0471,20,Honest,0.0253,0.5414,Malicious,False Positive (False Alarm)
N-0472,20,Malicious,0.9703,0.5848,Malicious,True Positive (Hit)
N-0473,20,Honest,0.7416,0.1354,Honest,True Negative (Safe)
N-0474,20,Malicious,0.5953,0.5661,Malicious,True Positive (Hit)
N-0475,20,Honest,1.0,0.1908,Honest,True Negative (Safe)
N-0476,20,Honest,0.4816,0.1124,Honest,True Negative (Safe)
N-0477,20,Honest,0.9153,0.6273,Malicious,False Positive (False Alarm)
N-0478,20,Honest,0.8577,0.4413,Honest,True Negative (Safe)
N-0479,20,Honest,0.2938,0.4156,Honest,True Negative (Safe)
N-0480,20,Honest,0.4482,0.5125,Malicious,False Positive (False Alarm)
N-0481,20,Honest,0.729,0.1201,Honest,True Negative (Safe)
N-0482,20,Malicious,0.787,0.9,Malicious,True Positive (Hit)
N-0483,20,Malicious,0.0,0.9262,Malicious,True Positive (Hit)
N-0484,20,Honest,0.3421,0.0728,Honest,True Negative (Safe)
N-0485,20,Honest,0.2392,0.223,Honest,True Negative (Safe)
N-0486,20,Malicious,0.67,0.4496,Honest,False Negative (Missed)
N-0487,20,Malicious,0.5975,0.8769,Malicious,True Positive (Hit)
N-0488,20,Honest,0.9155,0.0347,Honest,True Negative (Safe)
N-0489,20,Malicious,0.4626,0.8076,Malicious,True Positive (Hit)
N-0490,20,Honest,0.7369,0.1892,Honest,True Negative (Safe)
N-0491,20,Honest,0.7497,0.0,Honest,True Negative (Safe)
N-0492,20,Honest,0.1367,0.3197,Honest,True Negative (Safe)
N-0493,20,Honest,0.0973,0.0151,Honest,True Negative (Safe)
N-0494,20,Malicious,0.4181,0.9197,Malicious,True Positive (Hit)
N-0495,20,Honest,0.0,0.2841,Honest,True Negative (Safe)
N-0496,20,Malicious,0.8082,0.7071,Malicious,True Positive (Hit)
N-0497,20,Honest,0.3578,0.3304,Honest,True Negative (Safe)
N-0498,20,Honest,0.402,0.5281,Malicious,False Positive (False Alarm)
N-0499,20,Honest,0.1721,0.2397,Honest,True Negative (Safe)
N-0500,20,Honest,0.5014,0.1743,Honest,True Negative (Safe)
N-0501,20,Honest,0.0,0.2178,Honest,True Negative (Safe)
N-0502,20,Malicious,0.775,0.9212,Malicious,True Positive (Hit)
N-0503,20,Honest,0.5387,0.0304,Honest,True Negative (Safe)
N-0504,20,Honest,0.5488,0.1353,Honest,True Negative (Safe)
N-0505,20,Honest,0.5384,0.2743,Honest,True Negative (Safe)
N-0506,20,Honest,0.2059,0.0715,Honest,True Negative (Safe)
N-0507,20,Honest,0.5388,0.2058,Honest,True Negative (Safe)
N-0508,20,Honest,0.2399,0.0654,Honest,True Negative (Safe)
N-0509,20,Honest,0.374,0.5636,Malicious,False Positive (False Alarm)
N-0510,20,Honest,0.3185,0.2472,Honest,True Negative (Safe)
N-0511,20,Honest,0.4754,0.0238,Honest,True Negative (Safe)
N-0512,20,Honest,0.0093,0.0447,Honest,True Negative (Safe)
N-0513,20,Honest,0.5118,0.2675,Honest,True Negative (Safe)
N-0514,20,Malicious,0.7256,0.7713,Malicious,True Positive (Hit)
N-0515,20,Honest,0.4226,0.1292,Honest,True Negative (Safe)
N-0516,20,Honest,0.6712,0.0662,Honest,True Negative (Safe)
N-0517,20,Malicious,0.2724,0.8748,Malicious,True Positive (Hit)
N-0518,20,Malicious,0.2167,1.0,Malicious,True Positive (Hit)
N-0519,20,Honest,0.47,0.3196,Honest,True Negative (Safe)
N-0520,20,Malicious,0.3479,0.6806,Malicious,True Positive (Hit)
N-0521,20,Honest,0.3433,0.1416,Honest,True Negative (Safe)
N-0522,20,Honest,0.6082,0.1601,Honest,True Negative (Safe)
N-0523,20,Honest,0.7044,0.7826,Malicious,False Positive (False Alarm)
N-0524,20,Honest,0.3761,0.2805,Honest,True Negative (Safe)
N-0525,20,Honest,0.5449,0.6123,Malicious,False Positive (False Alarm)
N-0526,20,Honest,0.4293,0.0842,Honest,True Negative (Safe)
N-0527,20,Honest,0.1334,0.2384,Honest,True Negative (Safe)
N-0528,20,Malicious,0.4379,1.0,Malicious,True Positive (Hit)
N-0529,20,Honest,0.8925,0.0431,Honest,True Negative (Safe)
N-0530,20,Malicious,0.3723,0.7662,Malicious,True Positive (Hit)
N-0531,20,Honest,0.7993,0.2614,Honest,True Negative (Safe)
N-0532,20,Malicious,0.3882,0.737,Malicious,True Positive (Hit)
N-0533,20,Honest,0.2929,0.3705,Honest,True Negative (Safe)
N-0534,20,Honest,0.2727,0.1479,Honest,True Negative (Safe)
N-0535,20,Honest,0.7405,0.0963,Honest,True Negative (Safe)
N-0536,20,Honest,0.0885,0.269,Honest,True Negative (Safe)
N-0537,20,Malicious,0.4599,0.8625,Malicious,True Positive (Hit)
N-0538,20,Malicious,0.6294,0.743,Malicious,True Positive (Hit)
N-0539,20,Honest,0.4347,0.1028,Honest,True Negative (Safe)
N-0540,20,Honest,0.4708,0.4263,Honest,True Negative (Safe)
N-0541,20,Malicious,0.3066,0.7488,Malicious,True Positive (Hit)
N-0542,20,Honest,0.7096,0.3511,Honest,True Negative (Safe)
N-0543,20,Malicious,0.8774,0.625,Malicious,True Positive (Hit)
N-0544,20,Honest,0.0,0.2901,Honest,True Negative (Safe)
N-0545,20,Malicious,0.6406,1.0,Malicious,True Positive (Hit)
N-0546,20,Honest,0.747,0.3573,Honest,True Negative (Safe)
N-0547,20,Honest,0.6413,0.2116,Honest,True Negative (Safe)
N-0548,20,Honest,0.1452,0.2735,Honest,True Negative (Safe)
N-0549,20,Honest,0.6956,0.3813,Honest,True Negative (Safe)
N-0550,20,Malicious,0.7585,0.6559,Malicious,True Positive (Hit)
N-0551,20,Malicious,0.4836,0.8564,Malicious,True Positive (Hit)
N-0552,20,Honest,0.3134,0.1469,Honest,True Negative (Safe)
N-0553,20,Honest,0.5245,0.4022,Honest,True Negative (Safe)
N-0554,20,Malicious,0.5001,0.4941,Honest,False Negative (Missed)
N-0555,20,Honest,0.266,0.2907,Honest,True Negative (Safe)
N-0556,20,Honest,0.4979,0.2982,Honest,True Negative (Safe)
N-0557,20,Honest,0.5803,0.2512,Honest,True Negative (Safe)
N-0558,20,Honest,0.5163,0.241,Honest,True Negative (Safe)
N-0559,20,Malicious,0.8372,1.0,Malicious,True Positive (Hit)
N-0560,20,Honest,0.1527,0.1989,Honest,True Negative (Safe)
N-0561,20,Malicious,0.5582,0.6913,Malicious,True Positive (Hit)
N-0562,20,Honest,0.8982,0.2948,Honest,True Negative (Safe)
N-0563,20,Honest,0.2487,0.3693,Honest,True Negative (Safe)
N-0564,20,Honest,0.5177,0.3108,Honest,True Negative (Safe)
N-0565,20,Honest,0.902,0.3202,Honest,True Negative (Safe)
N-0566,20,Honest,0.3741,0.0,Honest,True Negative (Safe)
N-0567,20,Honest,0.4087,0.5112,Malicious,False Positive (False Alarm)
N-0568,20,Honest,0.4272,0.0,Honest,True Negative (Safe)
N-0569,20,Honest,0.3254,0.4485,Honest,True Negative (Safe)
N-0570,20,Honest,0.5865,0.082,Honest,True Negative (Safe)
N-0571,20,Malicious,0.4087,0.6596,Malicious,True Positive (Hit)
N-0572,20,Malicious,0.3843,0.3035,Honest,False Negative (Missed)
N-0573,20,Honest,0.6409,0.5014,Malicious,False Positive (False Alarm)
N-0574,20,Malicious,0.1704,1.0,Malicious,True Positive (Hit)
N-0575,20,Honest,0.4242,0.495,Honest,True Negative (Safe)
N-0576,20,Honest,0.4595,0.2771,Honest,True Negative (Safe)
N-0577,20,Malicious,0.6431,0.5762,Malicious,True Positive (Hit)
N-0578,20,Honest,0.7487,0.0257,Honest,True Negative (Safe)
N-0579,20,Honest,0.3495,0.3549,Honest,True Negative (Safe)
N-0580,20,Honest,0.3227,0.4055,Honest,True Negative (Safe)
N-0581,20,Honest,0.794,0.4525,Honest,True Negative (Safe)
N-0582,20,Malicious,0.066,0.7777,Malicious,True Positive (Hit)
N-0583,20,Honest,0.7072,0.0,Honest,True Negative (Safe)
N-0584,20,Honest,0.6309,0.3835,Honest,True Negative (Safe)
N-0585,20,Honest,0.147,0.4168,Honest,True Negative (Safe)
N-0586,20,Honest,0.5182,0.3801,Honest,True Negative (Safe)
N-0587,20,Honest,0.2084,0.28,Honest,True Negative (Safe)
N-0588,20,Honest,0.0238,0.0,Honest,True Negative (Safe)
N-0589,20,Malicious,0.5852,0.9921,Malicious,True Positive (Hit)
N-0590,20,Malicious,0.6132,0.736,Malicious,True Positive (Hit)
N-0591,20,Malicious,0.5031,0.5426,Malicious,True Positive (Hit)
N-0592,20,Honest,0.3945,0.3343,Honest,True Negative (Safe)
N-0593,20,Honest,0.3412,0.4001,Honest,True Negative (Safe)
N-0594,20,Honest,0.499,0.3134,Honest,True Negative (Safe)
N-0595,20,Honest,0.6722,0.1446,Honest,True Negative (Safe)
N-0596,20,Malicious,0.7148,0.665,Malicious,True Positive (Hit)
N-0597,20,Honest,0.5349,0.1208,Honest,True Negative (Safe)
N-0598,20,Honest,0.2223,0.2684,Honest,True Negative (Safe)
N-0599,20,Honest,0.0,0.1907,Honest,True Negative (Safe)
N-0600,20,Honest,0.0484,0.4058,Honest,True Negative (Safe)
N-0601,20,Malicious,0.8125,0.5599,Malicious,True Positive (Hit)
N-0602,20,Malicious,0.6571,0.9478,Malicious,True Positive (Hit)
N-0603,20,Honest,0.6756,0.2929,Honest,True Negative (Safe)
N-0604,20,Honest,0.6336,0.1201,Honest,True Negative (Safe)
N-0605,20,Honest,0.4708,0.1566,Honest,True Negative (Safe)
N-0606,20,Honest,0.2666,0.2572,Honest,True Negative (Safe)
N-0607,20,Malicious,0.6369,1.0,Malicious,True Positive (Hit)
N-0608,20,Malicious,0.6163,0.8912,Malicious,True Positive (Hit)
N-0609,20,Honest,0.6133,0.7875,Malicious,False Positive (False Alarm)
N-0610,20,Honest,0.0,0.1124,Honest,True Negative (Safe)
N-0611,20,Malicious,0.9185,0.6726,Malicious,True Positive (Hit)
N-0612,20,Honest,0.6715,0.296,Honest,True Negative (Safe)
N-0613,20,Honest,0.9763,0.0274,Honest,True Negative (Safe)
N-0614,20,Honest,0.7555,0.5999,Malicious,False Positive (False Alarm)
N-0615,20,Honest,0.1964,0.4066,Honest,True Negative (Safe)
N-0616,20,Honest,0.2086,0.256,Honest,True Negative (Safe)
N-0617,20,Honest,0.3859,0.0,Honest,True Negative (Safe)
N-0618,20,Honest,0.5561,0.2787,Honest,True Negative (Safe)
N-0619,20,Honest,0.8198,0.3722,Honest,True Negative (Safe)
N-0620,20,Malicious,1.0,0.7735,Malicious,True Positive (Hit)
N-0621,20,Honest,0.4236,0.2131,Honest,True Negative (Safe)
N-0622,20,Malicious,0.4401,0.2643,Honest,False Negative (Missed)
N-0623,20,Honest,0.395,0.0,Honest,True Negative (Safe)
N-0624,20,Malicious,0.663,0.4772,Honest,False Negative (Missed)
N-0625,20,Malicious,0.3264,0.6027,Malicious,True Positive (Hit)
N-0626,20,Honest,0.3988,0.2514,Honest,True Negative (Safe)
N-0627,20,Malicious,0.8211,0.6229,Malicious,True Positive (Hit)
N-0628,20,Honest,0.57,0.7962,Malicious,False Positive (False Alarm)
N-0629,20,Honest,0.5443,0.2139,Honest,True Negative (Safe)
N-0630,20,Honest,0.2552,0.2111,Honest,True Negative (Safe)
N-0631,20,Honest,0.2284,0.3037,Honest,True Negative (Safe)
N-0632,20,Honest,0.4759,0.0,Honest,True Negative (Safe)
N-0633,20,Honest,0.4454,0.4652,Honest,True Negative (Safe)
N-0634,20,Honest,0.3502,0.1194,Honest,True Negative (Safe)
N-0635,20,Honest,0.1056,0.0,Honest,True Negative (Safe)
N-0636,20,Malicious,0.7578,0.7101,Malicious,True Positive (Hit)
N-0637,20,Malicious,0.743,1.0,Malicious,True Positive (Hit)
N-0638,20,Honest,0.6803,0.1415,Honest,True Negative (Safe)
N-0639,20,Honest,0.4862,0.127,Honest,True Negative (Safe)
N-0640,20,Honest,0.2729,0.3186,Honest,True Negative (Safe)
N-0641,20,Honest,0.2419,0.0,Honest,True Negative (Safe)
N-0642,20,Malicious,0.328,0.6825,Malicious,True Positive (Hit)
N-0643,20,Malicious,0.9303,0.642,Malicious,True Positive (Hit)
N-0644,20,Honest,0.578,0.2163,Honest,True Negative (Safe)
N-0645,20,Honest,0.7566,0.4814,Honest,True Negative (Safe)
N-0646,20,Honest,0.744,0.0,Honest,True Negative (Safe)
N-0647,20,Honest,0.5017,0.4018,Honest,True Negative (Safe)
N-0648,20,Honest,0.5454,0.3773,Honest,True Negative (Safe)
N-0649,20,Honest,0.4646,0.101,Honest,True Negative (Safe)
N-0650,20,Honest,0.0257,0.1209,Honest,True Negative (Safe)
N-0651,20,Malicious,1.0,0.6432,Malicious,True Positive (Hit)
N-0652,20,Honest,0.0,0.3965,Honest,True Negative (Safe)
N-0653,20,Honest,0.6639,0.5075,Malicious,False Positive (False Alarm)
N-0654,20,Honest,0.5677,0.4191,Honest,True Negative (Safe)
N-0655,20,Honest,0.9101,0.1009,Honest,True Negative (Safe)
N-0656,20,Honest,0.214,0.0311,Honest,True Negative (Safe)
N-0657,20,Honest,0.3836,0.5367,Malicious,False Positive (False Alarm)
N-0658,20,Honest,0.582,0.3477,Honest,True Negative (Safe)
N-0659,20,Malicious,0.0952,0.5975,Malicious,True Positive (Hit)
N-0660,20,Honest,0.0,0.4842,Honest,True Negative (Safe)
N-0661,20,Malicious,0.9464,0.9215,Malicious,True Positive (Hit)
N-0662,20,Honest,0.2033,0.5464,Malicious,False Positive (False Alarm)
N-0663,20,Honest,0.3867,0.0071,Honest,True Negative (Safe)
N-0664,20,Honest,0.2089,0.164,Honest,True Negative (Safe)
N-0665,20,Malicious,0.5624,0.7145,Malicious,True Positive (Hit)
N-0666,20,Malicious,0.1968,1.0,Malicious,True Positive (Hit)
N-0667,20,Honest,0.4123,0.1072,Honest,True Negative (Safe)
N-0668,20,Malicious,0.8276,0.4897,Honest,False Negative (Missed)
N-0669,20,Honest,0.0428,0.5045,Malicious,False Positive (False Alarm)
N-0670,20,Honest,0.9228,0.1576,Honest,True Negative (Safe)
N-0671,20,Honest,0.4385,0.0207,Honest,True Negative (Safe)
N-0672,20,Honest,0.4514,0.1549,Honest,True Negative (Safe)
N-0673,20,Honest,0.4245,0.3319,Honest,True Negative (Safe)
N-0674,20,Honest,0.1755,0.1776,Honest,True Negative (Safe)
N-0675,20,Malicious,0.0991,0.6719,Malicious,True Positive (Hit)
N-0676,20,Malicious,0.5266,0.8004,Malicious,True Positive (Hit)
N-0677,20,Malicious,0.6099,0.9489,Malicious,True Positive (Hit)
N-0678,20,Honest,0.0651,0.0,Honest,True Negative (Safe)
N-0679,20,Honest,0.5822,0.0,Honest,True Negative (Safe)
N-0680,20,Malicious,0.5958,0.4903,Honest,False Negative (Missed)
N-0681,20,Honest,0.8432,0.3001,Honest,True Negative (Safe)
N-0682,20,Honest,0.3952,0.4955,Honest,True Negative (Safe)
N-0683,20,Honest,0.1841,0.0753,Honest,True Negative (Safe)
N-0684,20,Malicious,0.2346,0.5597,Malicious,True Positive (Hit)
N-0685,20,Honest,0.4653,0.3488,Honest,True Negative (Safe)
N-0686,20,Malicious,0.7904,0.3486,Honest,False Negative (Missed)
N-0687,20,Honest,0.407,0.0284,Honest,True Negative (Safe)
N-0688,20,Honest,0.3987,0.7168,Malicious,False Positive (False Alarm)
N-0689,20,Honest,0.523,0.4299,Honest,True Negative (Safe)
N-0690,20,Honest,0.9402,0.4755,Honest,True Negative (Safe)
N-0691,20,Honest,0.338,0.0,Honest,True Negative (Safe)
N-0692,20,Honest,0.4425,0.1365,Honest,True Negative (Safe)
N-0693,20,Honest,0.0689,0.2982,Honest,True Negative (Safe)
N-0694,20,Honest,0.5165,0.6038,Malicious,False Positive (False Alarm)
N-0695,20,Honest,0.3596,0.306,Honest,True Negative (Safe)
N-0696,20,Honest,0.2836,0.4246,Honest,True Negative (Safe)
N-0697,20,Honest,0.4188,0.0155,Honest,True Negative (Safe)
N-0698,20,Honest,0.4466,0.3281,Honest,True Negative (Safe)
N-0699,20,Honest,0.5138,0.4592,Honest,True Negative (Safe)
N-0700,20,Malicious,0.188,0.5646,Malicious,True Positive (Hit)
N-0701,20,Honest,0.6099,0.1049,Honest,True Negative (Safe)
N-0702,20,Honest,0.5101,0.0,Honest,True Negative (Safe)
N-0703,20,Honest,1.0,0.1961,Honest,True Negative (Safe)
N-0704,20,Honest,0.7485,0.1826,Honest,True Negative (Safe)
N-0705,20,Honest,0.5537,0.5484,Malicious,False Positive (False Alarm)
N-0706,20,Honest,0.7415,0.2091,Honest,True Negative (Safe)
N-0707,20,Malicious,0.5162,0.9708,Malicious,True Positive (Hit)
N-0708,20,Malicious,1.0,0.7923,Malicious,True Positive (Hit)
N-0709,20,Honest,0.9393,0.2017,Honest,True Negative (Safe)
N-0710,20,Honest,0.688,0.4702,Honest,True Negative (Safe)
N-0711,20,Honest,0.3475,0.1006,Honest,True Negative (Safe)
N-0712,20,Honest,0.7363,0.1437,Honest,True Negative (Safe)
N-0713,20,Honest,0.2264,0.1132,Honest,True Negative (Safe)
N-0714,20,Honest,0.3161,0.4213,Honest,True Negative (Safe)
N-0715,20,Honest,0.5788,0.3931,Honest,True Negative (Safe)
N-0716,20,Malicious,0.6553,0.6194,Malicious,True Positive (Hit)
N-0717,20,Malicious,0.7243,1.0,Malicious,True Positive (Hit)
N-0718,20,Honest,0.5961,0.3399,Honest,True Negative (Safe)
N-0719,20,Honest,0.2582,0.2924,Honest,True Negative (Safe)
N-0720,20,Malicious,0.3449,0.7447,Malicious,True Positive (Hit)
N-0721,20,Honest,0.0399,0.0,Honest,True Negative (Safe)
N-0722,20,Malicious,0.5022,0.6293,Malicious,True Positive (Hit)
N-0723,20,Honest,0.4767,0.223,Honest,True Negative (Safe)
N-0724,20,Honest,0.4575,0.3717,Honest,True Negative (Safe)
N-0725,20,Honest,0.3342,0.2061,Honest,True Negative (Safe)
N-0726,20,Honest,0.8138,0.2506,Honest,True Negative (Safe)
N-0727,20,Malicious,0.5052,0.7682,Malicious,True Positive (Hit)
N-0728,20,Malicious,0.5097,0.5939,Malicious,True Positive (Hit)
N-0729,20,Malicious,0.3005,0.582,Malicious,True Positive (Hit)
N-0730,20,Honest,0.6682,0.124,Honest,True Negative (Safe)
N-0731,20,Malicious,0.5113,0.9042,Malicious,True Positive (Hit)
N-0732,20,Honest,0.3804,0.3767,Honest,True Negative (Safe)
N-0733,20,Honest,0.0648,0.2235,Honest,True Negative (Safe)
N-0734,20,Honest,0.4697,0.2546,Honest,True Negative (Safe)
N-0735,20,Honest,0.0368,0.4906,Honest,True Negative (Safe)
N-0736,20,Honest,0.2363,0.317,Honest,True Negative (Safe)
N-0737,20,Honest,0.452,0.4507,Honest,True Negative (Safe)
N-0738,20,Malicious,1.0,0.4661,Honest,False Negative (Missed)
N-0739,20,Honest,0.2878,0.2878,Honest,True Negative (Safe)
N-0740,20,Honest,0.1737,0.4064,Honest,True Negative (Safe)
N-0741,20,Honest,0.6608,0.3619,Honest,True Negative (Safe)
N-0742,20,Honest,0.5091,0.5239,Malicious,False Positive (False Alarm)
N-0743,20,Honest,0.1611,0.2631,Honest,True Negative (Safe)
N-0744,20,Honest,0.2653,0.428,Honest,True Negative (Safe)
N-0745,20,Malicious,0.0917,0.7438,Malicious,True Positive (Hit)
N-0746,20,Honest,0.5338,0.0605,Honest,True Negative (Safe)
N-0747,20,Honest,0.2935,0.2531,Honest,True Negative (Safe)
N-0748,20,Honest,0.6888,0.0434,Honest,True Negative (Safe)
N-0749,20,Honest,0.2354,0.4751,Honest,True Negative (Safe)
N-0750,20,Honest,0.3818,0.0945,Honest,True Negative (Safe)
N-0751,20,Honest,0.6322,0.1524,Honest,True Negative (Safe)
N-0752,20,Honest,0.7069,0.1173,Honest,True Negative (Safe)
N-0753,20,Honest,0.4101,0.439,Honest,True Negative (Safe)
N-0754,20,Honest,0.3934,0.4012,Honest,True Negative (Safe)
N-0755,20,Honest,0.4336,0.6463,Malicious,False Positive (False Alarm)
N-0756,20,Honest,0.8422,0.0,Honest,True Negative (Safe)
N-0757,20,Honest,0.5806,0.0867,Honest,True Negative (Safe)
N-0758,20,Honest,0.4979,0.2637,Honest,True Negative (Safe)
N-0759,20,Honest,0.1862,0.4617,Honest,True Negative (Safe)
N-0760,20,Honest,0.5008,0.1931,Honest,True Negative (Safe)
N-0761,20,Malicious,0.4405,0.7808,Malicious,True Positive (Hit)
N-0762,20,Honest,0.552,0.225,Honest,True Negative (Safe)
N-0763,20,Malicious,0.0,0.7537,Malicious,True Positive (Hit)
N-0764,20,Honest,0.0896,0.2081,Honest,True Negative (Safe)
N-0765,20,Honest,0.0989,0.0,Honest,True Negative (Safe)
N-0766,20,Honest,0.7588,0.186,Honest,True Negative (Safe)
N-0767,20,Honest,0.3508,0.3465,Honest,True Negative (Safe)
N-0768,20,Honest,0.3574,0.6708,Malicious,False Positive (False Alarm)
N-0769,20,Honest,0.3817,0.323,Honest,True Negative (Safe)
N-0770,20,Malicious,0.7927,1.0,Malicious,True Positive (Hit)
N-0771,20,Honest,0.2645,0.1664,Honest,True Negative (Safe)
N-0772,20,Honest,0.7686,0.412,Honest,True Negative (Safe)
N-0773,20,Honest,0.7188,0.0,Honest,True Negative (Safe)
N-0774,20,Honest,0.837,0.0977,Honest,True Negative (Safe)
N-0775,20,Honest,0.4981,0.2204,Honest,True Negative (Safe)
N-0776,20,Honest,0.2304,0.0,Honest,True Negative (Safe)
N-0777,20,Honest,0.014,0.2738,Honest,True Negative (Safe)
N-0778,20,Honest,0.0687,0.0232,Honest,True Negative (Safe)
N-0779,20,Honest,0.3955,0.0,Honest,True Negative (Safe)
N-0780,20,Honest,0.6447,0.0,Honest,True Negative (Safe)
N-0781,20,Honest,0.4307,0.253,Honest,True Negative (Safe)
N-0782,20,Honest,0.5845,0.2417,Honest,True Negative (Safe)
N-0783,20,Honest,0.9545,0.2933,Honest,True Negative (Safe)
N-0784,20,Honest,0.7134,0.1053,Honest,True Negative (Safe)
